Metric,Value
Annual Return,0.35069652268689794
Annual Volatility,0.28990148546193806
Sharpe Ratio,1.1407203456027684
Sortino Ratio,1.5670998899089181
Maximum Drawdown,-0.41827195294913033
Calmar Ratio,0.8384414020931238
