,Weight,Marginal Contribution,Component Contribution,Risk Contribution (%)
AAPL,0.2,0.24637326317811073,0.04927465263562215,16.9970335119554
MSFT,0.2,0.2452207828289836,0.04904415656579672,16.917525099137805
NVDA,0.2,0.42823212105022906,0.08564642421004581,29.543285738454944
AMZN,0.2,0.27628407994925475,0.05525681598985095,19.060549448997474
GOOGL,0.2,0.2533971803031126,0.05067943606062252,17.48160620145437
